Distance from the cathode,nH,Err,nCH,Err,nC2,Err
mm,m\+(-3),,m\+(-3),,m\+(-3),
1.83967935871744,3.09477148963623E21,1.3926471703363E21,662274971526541,264909988610616,2.71208134799703E17,1.08483253919881E17
1.87374749498998,2.7161646629628E21,1.22227409833326E21,665087247692081,266034899076832,2.72896219238725E17,1.0915848769549E17
1.90781563126253,4.27835885328319E21,1.92526148397744E21,668215044200323,267286017680129,2.74584303677747E17,1.09833721471099E17
1.94188376753507,5.20773745547359E21,2.34348185496312E21,671405564632116,268562225852846,2.77335066977571E17,1.10934026791028E17
1.97595190380762,4.44982466518807E21,2.00242109933463E21,679320068329851,271728027331940,2.80255242849407E17,1.12102097139763E17
2.01002004008016,3.36701989306882E21,1.51515895188097E21,696973245221991,278789298088796,2.83175418721244E17,1.13270167488498E17
2.04408817635271,2.41633885895939E21,1.08735248653173E21,714626422114131,285850568845652,2.88473168437352E17,1.15389267374941E17
2.07815631262525,2.52112710275224E21,1.13450719623851E21,734428626316558,293771450526623,2.94590082251067E17,1.17836032900427E17
2.1122244488978,2.30567821948535E21,1.03755519876841E21,754705462317575,301882184927030,3.00706996064782E17,1.20282798425913E17
2.14629258517034,1.90083382951452E21,8.55375223281534E20,780037043845244,312014817538098,3.0718491907885E17,1.2287396763154E17
2.18036072144289,1.95089180140539E21,8.77901310632426E20,816537982423737,326615192969495,3.13879447613132E17,1.25551779045253E17
2.21442885771543,1.93624939589273E21,8.71312228151729E20,853038921002230,341215568400892,3.20573976147413E17,1.28229590458965E17
2.24849699398798,1.84582778122934E21,8.30622501553203E20,858343173502360,343337269400944,3.26648936343386E17,1.30659574537354E17
2.28256513026052,1.86759887287298E21,8.40419492792841E20,856043233770888,342417293508355,3.32119626184713E17,1.32847850473885E17
2.31663326653307,1.97504251116025E21,8.88769130022112E20,853159864617675,341263945847070,3.3759031602604E17,1.35036126410416E17
2.35070140280561,2.23948821649518E21,1.00776969742283E21,848892086667109,339556834666844,3.43200993917001E17,1.372803975668E17
2.38476953907816,2.19065457482613E21,9.85794558671759E20,844624308716544,337849723486618,3.49032943241253E17,1.39613177296501E17
2.4188376753507,2.04726546822049E21,9.2126946069922E20,861512929652761,344605171861104,3.54864892565506E17,1.41945957026202E17
2.45290581162325,1.98829408487544E21,8.94732338193948E20,884061224176525,353624489670610,3.59731270490743E17,1.43892508196297E17
2.48697394789579,1.81930860531841E21,8.18688872393285E20,902799750866005,361119900346402,3.61970396004703E17,1.44788158401881E17
2.52104208416834,1.57779317926194E21,7.10006930667873E20,911809763264369,364723905305748,3.64209521518663E17,1.45683808607465E17
2.55511022044088,1.58278528667564E21,7.12253379004038E20,920819775662733,368327910265093,3.66955531468846E17,1.46782212587538E17
2.58917835671343,1.56411912742685E21,7.03853607342083E20,909922935126288,363969174050515,3.72573886557621E17,1.49029554623048E17
2.62324649298597,1.51554215961189E21,6.81993971825351E20,893209157043957,357283662817583,3.78192241646396E17,1.51276896658558E17
2.65731462925852,1.70560269792004E21,7.67521214064018E20,875229006057708,350091602423083,3.83943450938498E17,1.53577380375399E17
2.69138276553106,1.77020456576064E21,7.96592054592288E20,853760356128589,341504142451436,3.93813140533765E17,1.57525256213506E17
2.72545090180361,1.44484139905943E21,6.50178629576743E20,832291706199470,332916682479788,4.03682830129032E17,1.61473132051613E17
2.75951903807615,1.3634226248973E21,6.13540181203785E20,821572695939997,328629078375999,4.13552519724298E17,1.65421007889719E17
2.7935871743487,1.37445903224075E21,6.18506564508338E20,814270789681471,325708315872588,4.19498862307766E17,1.67799544923106E17
2.82765531062124,1.36918403142406E21,6.16132814140827E20,812193169938823,324877267975529,4.25068993533939E17,1.70027597413576E17
2.86172344689379,1.40237035362552E21,6.31066659131484E20,825683924013492,330273569605397,4.30639124760111E17,1.72255649904044E17
2.89579158316633,1.46445579146493E21,6.59005106159219E20,839174678088160,335669871235264,4.31538691183981E17,1.72615476473592E17
2.92985971943888,1.47262992510221E21,6.62683466295995E20,847829410205049,339131764082020,4.31224646281269E17,1.72489858512508E17
